,Target Location,Time Zone (text),Home Team (text),Opponent (text),Game Time EST (text),Game Day (text),Game Time Actual (text),Week (text),Criteria ID
0,10001,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004056
1,10002,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004057
2,10003,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004058
3,10004,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004059
4,10005,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004060
5,10006,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004061
6,10007,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004062
7,10009,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004063
8,10010,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004064
9,10011,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004065
10,10012,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004066
11,10013,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004067
12,10014,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004068
13,10016,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004069
14,10017,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004070
15,10018,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004071
16,10019,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004072
17,10020,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004073
18,10021,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004074
19,10022,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004075
20,10023,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004076
21,10024,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004077
22,10025,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004078
23,10026,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004079
24,10027,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004080
25,10028,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004081
26,10029,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004082
27,10030,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004083
28,10031,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004084
29,10032,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004085
30,10033,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004086
31,10034,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004087
32,10035,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004088
33,10036,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004089
34,10037,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004090
35,10038,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004091
36,10039,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004092
37,10040,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004093
38,10043,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004095
39,10044,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004096
40,10045,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004097
41,10065,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004098
42,10069,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004099
43,10075,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004100
44,10080,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004101
